Mom ID,i1955,i2043,i2043,i1954,i546,i1925,i1946,i1923,i1925,i547,i556,i1946,i566,i564,i1923,i1958,i547,i583,i1923,i1970,i1914,i1923,i2044,i2046,i2043,i2046,i2043,i583,i583,i1923,i2052,i1950,i1972,i1939,i1941,i1939,i556,i1956,i1923,i1956,i2046,i2045,i1945,i1954,i2055,i2047,i575,i1954,i1956,i1954,i570,i1956,i583,i1986,i1949,i2048,i1959,i1957,i1934,i1937,questionable mom? (a3-8/24/09),i2049,i1930,i2050,i1916,i1969,i1940,i2051,i1943,i1995,i1952,i1954,i2002,i2053,i2054,i1933
Birthdate,38497,38513,38523,38575,38579,38497,38533,38579,38497,38523,38533,38539,38543,38555,38579,38501,38529,38535,38539,38579,38507,38545,38561,38511,38517,38535,38517,38529,38535,38545,38513,38519,38515,38529,38515,38529,38533,38539,38545,38551,38519,38579,38517,38545,38517,38517,38533,38545,38529,38545,38523,38529,38535,38589,38593,38601,38643,38675,38653,38627,38589,38619,38613,38629,38601,38661,38621,38661,38681,38685,38567,38579,38665,38685,38631,38589
ID,i644,i645,i646,i647,i648,i649,i650,i651,i652,i653,i654,i655,i656,i657,i658,i659,i660,i661,i662,i663,i664,i665,i666,i667,i668,i669,i670,i671,i672,i673,i674,i675,i676,i677,i678,i679,i680,i681,i682,i683,i684,i685,i686,i687,i688,i689,i690,i691,i692,i693,i694,i695,i696,i2107,i2108,i2109,i2110,i2111,i2112,i2113,i2114,i2115,i2116,i2117,i2118,i2119,i2120,i2121,i2122,i2123,i2124,i2125,i2126,i2127,i2128,i2129
Vial,C1,c1,c1,c1,c1,c2,c2 (c17),c2,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4 (part of c16),c4,c5,c5,c5,c6,c6,c6 (c18),c7,c7,c7,c7,c8,c8,c9,c9,c10,c10,c10,c10,c10,c10,c10 (c14),c10,c11,c11,c12,c13,c13,c13,c15,c15,c16,c16,c16,c1,c1,c1,c1,c1,c2,c3,c4,c4,c5,c5,c6,c6,c7,c7,c7,c7,c8,c8,c8,c8,c9,c10
13,3,,1,,,2,0,0,5,,,,,0,0,2,,,0,,2,,0,,0,6,,,,0,,1,,5,,,,,,,3,,,3,2,6,,,,,,,,,,0,0,,2,0,0,0,,0,0,0,,,,,,1,,,0,
15,,,1,,,5,0,2,7,,,,,0,0,2,,,0,,2,,0,,0,7,,,,0,,1,,5,,,,,,,3,,,4,2,,,,,,,,,,,0,1,,2,0,0,0,,0,0,0,,,,,,1,,,0,
17,,,3,,,5,2,2,7,,,,,0,0,3,,,0,,3,,0,,0,7,,,,0,,1,,5,,,,,,,6,,,,2,,,,,,,,,,,0,2,,2,0,0,1,,0,0,2,,,,,,2,,,0,
19,,,4,,,5,4,3,7,,,,,0,0,3,,,0,,5,,0,,0,10,,,,0,,1,,5,,,,,,,6,,,,2,,,,,,,,,,,0,2,,4,0,0,1,,0,0,3,,,,,,2,,,,
21,,,4,,,6,4,3,11,,,,,0,0,3,,,1,,5,,0,,0,11,,,,0,,1,,7,,,,,,,6,,,,2,,,,,,,,,,,0,4,,4,0,3,3,,0,0,3,,,,,,2,,,,
23,,,4,,,6,7,3,11,,,,,0,0,4,,,1,,7,,0,,1,11,,,,0,,1,,7,,,,,,,6,,,,2,,,,,,,,,,,0,6,,7,0,4,3,,0,0,5,,,,,,2,,,,
25,,,4,,,8,7,5,,,,,,,0,,,,1,,7,,1,,1,13,,,,0,,2,,7,,,,,,,6,,,,3,,,,,,,,,,,0,6,,7,0,4,3,,0,0,6,,,,,,2,,,,
27,,,5,,,8,9,5,,,,,,,0,,,,1,,7,,1,,3,14,,,,0,,2,,7,,,,,,,9,,,,7,,,,,,,,,,,1,6,,7,0,4,3,,0,0,,,,,,,2,,,,
29,,,5,,,8,9,7,,,,,,,0,,,,1,,7,,1,,4,14,,,,0,,2,,7,,,,,,,11,,,,8,,,,,,,,,,,1,,,9,0,4,3,,0,0,,,,,,,2,,,,
31,,,5,,,10,9,7,,,,,,,0,,,,1,,9,,2,,4,14,,,,0,,2,,7,,,,,,,11,,,,8,,,,,,,,,,,2,,,9,0,,4,,1,0,,,,,,,3,,,,
33,,,5,,,10,12,7,,,,,,,0,,,,1,,10,,2,,6,14,,,,0,,2,,7,,,,,,,11,,,,10,,,,,,,,,,,2,,,10,0,,4,,1,1,,,,,,,3,,,,
35,,,5,,,10,12,7,,,,,,,0,,,,1,,,,2,,6,14,,,,0,,2,,7,,,,,,,11,,,,10,,,,,,,,,,,,,,,0,,4,,1,1,,,,,,,4,,,,
37,,,6,,,10,12,8,,,,,,,0,,,,1,,,,2,,6,15,,,,0,,2,,7,,,,,,,11,,,,10,,,,,,,,,,,,,,,2,,4,,1,3,,,,,,,4,,,,
39,,,6,,,10,12,8,,,,,,,0,,,,1,,,,2,,,15,,,,0,,2,,7,,,,,,,11,,,,12,,,,,,,,,,,,,,,2,,4,,2,3,,,,,,,4,,,,
41,,,6,,,10,12,8,,,,,,,0,,,,,,,,2,,,16,,,,0,,2,,7,,,,,,,11,,,,13,,,,,,,,,,,,,,,2,,6,,2,3,,,,,,,4,,,,
43,,,,,,10,12,8,,,,,,,0,,,,,,,,2,,,16,,,,0,,2,,7,,,,,,,11,,,,15,,,,,,,,,,,,,,,2,,7,,2,3,,,,,,,4,,,,
45,,,,,,10,12,8,,,,,,,0,,,,,,,,2,,,16,,,,0,,2,,7,,,,,,,11,,,,16,,,,,,,,,,,,,,,3,,7,,2,3,,,,,,,4,,,,
47,,,,,,10,,8,,,,,,,0,,,,,,,,,,,16,,,,0,,,,7,,,,,,,11,,,,16,,,,,,,,,,,,,,,3,,9,,2,3,,,,,,,4,,,,
49,,,,,,10,,8,,,,,,,,,,,,,,,,,,17,,,,0,,,,7,,,,,,,11,,,,16,,,,,,,,,,,,,,,3,,9,,3,,,,,,,,4,,,,
51,,,,,,10,,8,,,,,,,,,,,,,,,,,,17,,,,0,,,,7,,,,,,,11,,,,18,,,,,,,,,,,,,,,3,,9,,3,,,,,,,,4,,,,
53,,,,,,10,,8,,,,,,,,,,,,,,,,,,17,,,,0,,,,7,,,,,,,11,,,,18,,,,,,,,,,,,,,,3,,11,,3,,,,,,,,4,,,,
55,,,,,,,,8,,,,,,,,,,,,,,,,,,17,,,,0,,,,7,,,,,,,,,,,18,,,,,,,,,,,,,,,3,,11,,5,,,,,,,,4,,,,
57,,,,,,,,8,,,,,,,,,,,,,,,,,,17,,,,,,,,7,,,,,,,,,,,18,,,,,,,,,,,,,,,3,,11,,5,,,,,,,,4,,,,
59,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,18,,,,,,,,,,,,,,,3,,11,,,,,,,,,,4,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,19,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,19,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,19,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,19,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
